City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Lompoc,US,2020-10-31 16:45:17,34.64,-120.46,53.6,81,1,4.7
118,Bengkulu,ID,2020-10-31 16:48:16,-3.8,102.27,77.04,86,100,3.22
119,Quatre Cocos,MU,2020-10-31 16:48:17,-20.21,57.76,69.8,77,40,14.99
120,Tangara,BR,2020-10-31 16:48:17,-6.2,-35.8,86.0,66,75,18.34
121,Zhuanghe,CN,2020-10-31 16:48:17,39.7,122.99,54.0,88,52,10.92
122,Port Keats,AU,2020-10-31 16:48:17,-14.25,129.55,82.44,80,12,6.69
123,Esperance,AU,2020-10-31 16:48:17,-33.87,121.9,73.4,31,100,10.29
124,Lumeje,AO,2020-10-31 16:48:17,-11.55,20.78,75.27,56,84,3.78
125,Hermanus,ZA,2020-10-31 16:48:17,-34.42,19.23,64.0,64,0,5.01
126,Shingu,JP,2020-10-31 16:48:17,33.73,135.98,56.66,68,20,5.57
127,Ponta Do Sol,PT,2020-10-31 16:48:17,32.67,-17.1,78.01,83,20,10.29
128,Buala,SB,2020-10-31 16:48:18,-8.14,159.59,79.79,75,61,2.93
129,Bismarck,US,2020-10-31 16:44:31,46.81,-100.78,43.0,57,20,31.09
130,Riyadh,SA,2020-10-31 16:47:32,24.69,46.72,77.0,31,0,3.36
131,Comodoro Rivadavia,AR,2020-10-31 16:45:15,-45.87,-67.5,62.6,59,0,6.93
132,Grand-Lahou,CI,2020-10-31 16:48:18,5.14,-5.02,81.55,77,57,5.99
133,Bluff,NZ,2020-10-31 16:48:18,-46.6,168.33,46.99,86,37,5.99
134,Bandarbeyla,SO,2020-10-31 16:48:18,9.49,50.81,77.94,80,55,13.09
135,Ardakan,IR,2020-10-31 16:48:19,32.31,54.02,68.0,16,0,4.7
136,Senneterre,CA,2020-10-31 16:48:19,48.38,-77.23,30.2,63,40,10.29
137,Zeya,RU,2020-10-31 16:48:19,53.75,127.27,29.97,91,100,10.87
138,Ahipara,NZ,2020-10-31 16:48:19,-35.17,173.17,62.33,95,38,4.81
139,Kishi,NG,2020-10-31 16:48:19,9.08,3.85,84.15,39,49,3.29
140,Axim,GH,2020-10-31 16:48:19,4.87,-2.24,81.25,80,49,6.38
141,Hlatikulu,SZ,2020-10-31 16:48:19,-26.97,31.32,57.56,90,98,5.41
142,Eseka,CM,2020-10-31 16:48:19,3.65,10.77,75.15,94,94,2.86
143,Korla,CN,2020-10-31 16:48:19,41.76,86.15,39.0,66,1,5.01
144,Ankazobe,MG,2020-10-31 16:48:20,-18.32,47.12,59.0,77,20,11.41
145,Severnyy,RU,2020-10-31 16:48:20,50.68,36.55,46.4,100,90,8.95
146,Tura,IN,2020-10-31 16:48:20,25.52,90.22,72.37,96,100,2.93
147,Mumbwa,ZM,2020-10-31 16:48:20,-14.98,27.06,79.74,22,4,7.29
148,Tahta,EG,2020-10-31 16:48:20,26.77,31.5,80.6,57,0,13.87
149,Darovskoy,RU,2020-10-31 16:48:20,58.77,47.96,36.07,86,100,8.9
150,Acajutla,SV,2020-10-31 16:48:20,13.59,-89.83,84.2,58,0,4.25
151,Mahebourg,MU,2020-10-31 16:48:20,-20.41,57.7,69.8,77,40,14.99
152,Okhotsk,RU,2020-10-31 16:48:21,59.38,143.3,16.25,86,0,11.41
153,Nouadhibou,MR,2020-10-31 16:48:21,20.93,-17.03,73.4,73,21,17.22
154,Englewood,US,2020-10-31 16:48:01,39.65,-104.99,63.0,20,1,5.82
155,Victoria,HK,2020-10-31 16:47:16,22.29,114.16,73.0,77,9,1.99
156,Port Augusta,AU,2020-10-31 16:48:21,-32.5,137.77,57.2,76,0,8.05
157,Auki,SB,2020-10-31 16:48:21,-8.77,160.7,77.94,85,32,4.14
158,Samarai,PG,2020-10-31 16:48:21,-10.62,150.67,80.42,84,70,10.02
