City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Anloga,GH,5.79,0.9,81.01,83,95,12.75,overcast clouds
199,Rouvroy,FR,50.39,2.9,64.99,88,90,19.46,light rain
200,Saskylakh,RU,71.92,114.08,-9.26,88,99,10.67,overcast clouds
201,Cidreira,BR,-30.18,-50.21,65.98,62,25,9.4,scattered clouds
202,Tucurui,BR,-3.77,-49.67,93.72,38,87,1.05,overcast clouds
203,Bambous Virieux,MU,-20.34,57.76,69.8,64,20,9.17,few clouds
204,Listvyagi,RU,53.68,86.95,27.07,97,12,5.53,few clouds
205,Poum,NC,-20.23,164.02,76.93,75,0,13.82,clear sky
206,Rong Kwang,TH,18.34,100.32,72.27,91,0,1.25,clear sky
207,Portland,US,45.52,-122.68,63.0,54,0,3.87,clear sky
208,Siteki,SZ,-26.45,31.95,58.59,95,100,2.86,light rain
209,Pacific Grove,US,36.62,-121.92,75.99,25,1,5.82,clear sky
210,Noumea,NC,-22.28,166.46,79.0,60,0,3.36,clear sky
211,Livingston,GB,55.9,-3.52,51.8,87,75,14.99,light rain
212,Betafo,MG,-19.83,46.85,63.43,69,34,2.8,scattered clouds
213,Prince Rupert,CA,54.32,-130.32,53.6,81,90,21.92,light rain
214,Antequera,ES,37.02,-4.56,64.99,93,20,1.12,few clouds
215,Itarema,BR,-2.92,-39.92,82.24,74,0,17.38,clear sky
216,Masumbwe,TZ,-3.63,32.18,71.8,57,13,3.51,few clouds
217,Hailar,CN,49.2,119.7,19.44,84,100,15.61,overcast clouds
218,Hami,CN,42.8,93.45,38.52,60,0,6.6,clear sky
219,Caluquembe,AO,-13.78,14.68,65.61,76,100,4.16,overcast clouds
220,Kyshtovka,RU,56.55,76.63,33.49,93,100,10.29,overcast clouds
221,Chaykovskaya,RU,58.13,55.54,30.2,80,90,2.24,overcast clouds
222,Bac Lieu,VN,9.29,105.72,78.37,87,99,8.03,light rain
223,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,12.75,broken clouds
224,Kiama,AU,-34.68,150.87,61.0,91,90,11.07,overcast clouds
225,Lazaro Cardenas,MX,17.96,-102.2,87.28,57,0,7.87,clear sky
226,Awjilah,LY,29.11,21.29,64.98,54,0,4.21,clear sky
227,Alta Floresta,BR,-9.88,-56.09,77.0,100,75,2.24,broken clouds
228,Muzhi,RU,65.37,64.67,27.93,94,26,14.61,scattered clouds
229,Fortuna,US,40.6,-124.16,64.4,59,20,6.93,few clouds
230,Piltene,LV,57.22,21.67,44.6,87,20,9.17,few clouds
231,Eyl,SO,7.98,49.82,79.99,68,0,18.3,clear sky
232,Kottagudem,IN,17.55,80.63,71.35,79,0,2.68,clear sky
233,Kiunga,PG,-6.12,141.29,75.02,98,100,0.81,overcast clouds
234,Ixtapa,MX,20.7,-105.2,86.0,79,0,8.01,light rain
235,Nuuk,GL,64.18,-51.72,24.8,79,75,5.82,shower rain
236,Saint-Philippe,RE,-21.36,55.77,68.0,68,90,5.82,overcast clouds
237,Auki,SB,-8.77,160.7,79.5,81,93,3.0,overcast clouds
238,Puerto Escondido,MX,15.85,-97.07,86.09,57,0,3.91,clear sky
239,La Rioja,ES,42.25,-2.5,62.01,82,0,7.43,clear sky
240,Atambua,ID,-9.11,124.89,74.55,78,97,3.09,overcast clouds
241,Riyadh,SA,24.69,46.72,69.8,35,0,3.36,clear sky
242,Vichy,FR,46.25,3.58,64.4,68,90,6.93,overcast clouds
243,Bom Jesus,BR,-9.07,-44.36,83.62,57,93,2.01,light rain
244,Ribeira Grande,PT,38.52,-28.7,62.6,82,75,8.05,broken clouds
245,Iqaluit,CA,63.75,-68.51,10.4,78,40,4.7,scattered clouds
246,Camacha,PT,33.08,-16.33,68.0,82,20,3.36,few clouds
247,Bomet,KE,-0.78,35.34,57.43,80,33,6.29,scattered clouds
248,Kailua,US,21.4,-157.74,80.01,74,20,2.37,few clouds
249,Guerrero Negro,MX,27.98,-114.06,81.32,36,22,10.51,few clouds
250,Roald,NO,62.58,6.13,51.8,62,75,20.8,broken clouds
251,Madanapalle,IN,13.55,78.5,67.86,75,64,1.66,broken clouds
252,Nagornyy,RU,52.8,83.55,33.8,86,20,8.95,few clouds
253,Aksarka,RU,66.56,67.8,25.43,95,0,12.37,clear sky
254,Abilene,US,32.45,-99.73,69.8,30,1,12.75,clear sky
255,Skibbereen,IE,51.55,-9.27,57.2,100,75,31.09,broken clouds
256,Labytnangi,RU,66.66,66.42,25.36,95,0,8.41,clear sky
257,Taunggyi,MM,20.78,97.03,60.78,100,98,1.41,overcast clouds
258,Payo,ID,-3.75,103.64,71.92,95,100,1.34,overcast clouds
259,Bakaly,RU,55.18,53.8,30.92,96,0,6.29,clear sky
260,Kelvington,CA,52.17,-103.53,44.6,45,90,17.22,overcast clouds
261,Shestakovo,RU,56.49,103.96,15.13,87,3,4.34,clear sky
262,Bandarbeyla,SO,9.49,50.81,77.29,76,0,20.4,clear sky
