City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Anloga,GH,81.01,overcast clouds,5.79,0.9,Pin Drop Hotel
205,Poum,NC,76.93,clear sky,-20.23,164.02,Gîte kajeon
206,Rong Kwang,TH,72.27,clear sky,18.34,100.32,Rong Kwang Hotel
209,Pacific Grove,US,75.99,clear sky,36.62,-121.92,Lovers Point Inn
210,Noumea,NC,79.0,clear sky,-22.28,166.46,Hôtel Le Lagon
215,Itarema,BR,82.24,clear sky,-2.92,-39.92,Windvillage
216,Masumbwe,TZ,71.8,few clouds,-3.63,32.18,Ngabanya Logde & Filling Station
222,Bac Lieu,VN,78.37,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
227,Alta Floresta,BR,77.0,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
231,Eyl,SO,79.99,clear sky,7.98,49.82,Amiin Hotel
232,Kottagudem,IN,71.35,clear sky,17.55,80.63,Hotel Surya Palace
233,Kiunga,PG,75.02,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
237,Auki,SB,79.5,overcast clouds,-8.77,160.7,Auki Motel
240,Atambua,ID,74.55,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
243,Bom Jesus,BR,83.62,light rain,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
248,Kailua,US,80.01,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
249,Guerrero Negro,MX,81.32,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
258,Payo,ID,71.92,overcast clouds,-3.75,103.64,Mess keban agung
262,Bandarbeyla,SO,77.29,clear sky,9.49,50.81,REER XOOSHLE GROUP
271,Coihaique,CL,78.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
272,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
274,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
278,Mangrol,IN,79.09,scattered clouds,21.12,70.12,Hotel The Royal Honours
285,Daru,PG,80.67,overcast clouds,-9.08,143.21,New century hotel
